need,VB|VBZ|VBD|VBN|VBG,,,,,NEED,She needed a coat on that rainy day.
must,MD,,,,,OBLIGATE,Why must I go out at 10pm?
command,VB|VBZ|VBD|VBN|VBG,,,,,ORDER,The drill sargeant commanded her troops to stand at a attention.
allow,VB|VBZ|VBD|VBN|VBG,,,,,PERMIT,Was she allowed to examine the patient?
endeavor,VB|VBZ|VBD|VBN|VBG,,,,,INTEND,She endeavors to try her hardest.
desire,VB|VBZ|VBD|VBN|VBG,,,,,WANT,What does he want?
can,MD,,,,,ABLE,He can be ignorant of the fact that the world would not accept the elections.
should,MD,,,,,REQUIRE,Americans should know that we can not hand over the prisoner to them.
manage,VB|VBZ|VBD|VBN|VBG,,,,,SUCCEED,He managed to hold general elections in 2016.
try,VB|VBZ|VBD|VBN|VBG,,,,,EFFORT,She tried to hold general elections in 2016.
sign,VB|VBZ|VBD|VBN|VBG,off,IN|RP,on,IN,PERMIT,She signed off on his leave.