able,JJ,to,TO,,,Able
abort,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotSucceed
abstain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
accept,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
accomplish,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
achieve,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
acquire,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
admit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
affirm,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
aim,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
aim,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
allow,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
appear,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
arrive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
aspire,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
aspire,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
assume,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
assure,VB|VBP|VBZ|VBD|VBN|VBG,,,,,FirmBelief
attack,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
attain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
attempt,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
authorize,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
avoid,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
await,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
beg,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
believe,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
beseech,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
can,MD,,,,,Able
capable,JJ,of,IN,,,Able&
certain,JJ,,,,,FirmBelief
command,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
come,VB|VBP|VBZ|VBD|VBN|VBG,through,IN,with,IN,Succeed
conclude,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
concoct,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
consider,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
conspire,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
contemplate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
contend,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
contrive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
convinced,VB|VBP|VBZ|VBD|VBN|VBG,,,,,FirmBelief
could,MD,,,,,Able
count,VB|VBP|VBZ|VBD|VBN|VBG,on,IN,,,Belief
covet,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
crave,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
credit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
decline,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
deny,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
design,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
despair,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotWant
despise,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotWant
destined,JJ,,,,,FirmBelief
determined,VB|VBP,,,,,FirmBelief
devise,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
disallow,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
disbelieve,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotBelief
discount,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotBelief
discredit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotBelief
dislike,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotWant
distrust,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotBelief
doubt,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotBelief
enable,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
endeavor,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
endorse,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
engineer,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
enjoin,VB|VBP|VBZ|VBD|VBN|VBG,from,IN,,,NotPermit
entreat,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
envisage,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
exclude,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
expect,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
fail,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotSucceed
fall,VB|VBP|VBZ|VBD|VBN|VBG,short,JJ,,,NotSucceed
fancy,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
fear,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotWant
fizzle,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotSucceed
flop,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotSucceed
forgo,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
fulfill,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
give,VB|VBP|VBZ|VBD|VBN|VBG,leave,NN,,,Permit
give,VB|VBP|VBZ|VBD|VBN|VBG,permission,NN,,,Permit
hate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotWant
have,VB|VBP|VBZ|VBD|VBN|VBG,the,DT need,NN,Require,
have,VB|VBP|VBZ|VBD|VBN|VBG,to,TO,,,Require
hope,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
hope,VB|VBP|VBZ|VBD|VBN|VBG,to,TO,,,Intend
hunger,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
improbable,JJ,,,,,NotBelief
in,IN,need,NN,of,IN,Require
incline,VB|VBP|VBZ|VBD|VBN|VBG,to,TO,,,Want
incline,VB|VBP|VBZ|VBD|VBN|VBG,toward,IN,,,Want
incline,VB|VBP|VBZ|VBD|VBN|VBG,towards,IN,,,Want
indicate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
infallible,JJ,,,,,FirmBelief
intend,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
irrefutable,JJ,,,,,FirmBelief
know,VB|VBP|VBZ|VBD|VBN|VBG,,,,,FirmBelief
let,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
likely,JJ,,,,,Belief
long,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
lust,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
manage,VB,to,TO,,,Succeed
manage,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
may,MD,,,,,Belief
maybe,RB,,,,,Belief
might,MD,,,,,Belief
must,MD,have,VB,,,Belief
must,MD,have,VBP,,,Belief
must,MD,,,,,Require
n't,RB,,,,,Negation
need,NN,,,,,Require
need,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
need,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
never,RB,,,,,Negation
no,RB,,,,,Negation
none,NN,,,,,Negation
not,RB,,,,,Negation
obligate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
obtain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
okay,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
ordain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
order,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
organize,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
pass,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
permit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
persuade,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
petition,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
pine,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
plan,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
plot,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
postulate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
powerless,JJ,,,,,NotAble
prefer,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
presume,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
presuppose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
prevail,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
probably,RB,,,,,Belief
promote,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
propose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
pull,VB|VBP|VBZ|VBD|VBN|VBG,off,RP,,,Succeed
questionable,JJ,,,,,NotBelief
reach,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
ready,JJ,,,,,Able
refuse,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
request,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
require,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
requirement,NN,,,,,Require
resolve,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
restrain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
sanctify,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
sanction,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
satisfy,VB|VBP|VBZ|VBD|VBN|VBG,,,,,FirmBelief
scheme,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
seek,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
short,JJ,of,IN,,,NotSucceed
should,MD,,,,,Require
sign,VB|VBP|VBZ|VBD|VBN|VBG,off,RP,on,IN,Permit
signify,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
solicit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
strive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
strive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
succeed,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
successful,JJ,,,,,Succeed
suffer,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
suppose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
sure,JJ,,,,,FirmBelief
suspect,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
tackle,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
take,VB|VBP|VBZ|VBD|VBN|VBG,as,NN,gospel,IN,FirmBelief
think,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
tolerate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
trust,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
try,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
unable,JJ,,,,,NotAble
unambiguous,JJ,,,,,FirmBelief
unbelieving,JJ,,,,,NotBelief
uncertain,JJ,,,,,NotBelief
undeniable,JJ,,,,,FirmBelief
undertake,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
unerring,JJ,,,,,FirmBelief
unmistakable,JJ,,,,,FirmBelief
unreliable,JJ,,,,,NotBelief
unsuccessful,JJ,,,,,NotSucceed
unsure,JJ,,,,,NotBelief
useless,JJ,,,,,NotSucceed
venture,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
verifiable,JJ,,,,,FirmBelief
veto,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
wait,VB|VBP|VBZ|VBD|VBN|VBG,for,IN,,,Belief
want,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
win,VB|VBP|VBZ|VBD|VBN|VBG,over,IN,,,Belief
win,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
wish,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
work,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
wrangle,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
